,lh.lateralorbitofrontal,lh.parsorbitalis,lh.frontalpole,lh.medialorbitofrontal,lh.parstriangularis,lh.parsopercularis,lh.rostralmiddlefrontal,lh.superiorfrontal,lh.caudalmiddlefrontal,lh.precentral,lh.paracentral,lh.rostralanteriorcingulate,lh.caudalanteriorcingulate,lh.posteriorcingulate,lh.isthmuscingulate,lh.postcentral,lh.supramarginal,lh.superiorparietal,lh.inferiorparietal,lh.precuneus,lh.cuneus,lh.pericalcarine,lh.lateraloccipital,lh.lingual,lh.fusiform,lh.parahippocampal,lh.entorhinal,lh.temporalpole,lh.inferiortemporal,lh.middletemporal,lh.bankssts,lh.superiortemporal,lh.transversetemporal,lh.insula,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Accumbens-area,Right-Hippocampus,Right-Amygdala,rh.lateralorbitofrontal,rh.parsorbitalis,rh.frontalpole,rh.medialorbitofrontal,rh.parstriangularis,rh.parsopercularis,rh.rostralmiddlefrontal,rh.superiorfrontal,rh.caudalmiddlefrontal,rh.precentral,rh.paracentral,rh.rostralanteriorcingulate,rh.caudalanteriorcingulate,rh.posteriorcingulate,rh.isthmuscingulate,rh.postcentral,rh.supramarginal,rh.superiorparietal,rh.inferiorparietal,rh.precuneus,rh.cuneus,rh.pericalcarine,rh.lateraloccipital,rh.lingual,rh.fusiform,rh.parahippocampal,rh.entorhinal,rh.temporalpole,rh.inferiortemporal,rh.middletemporal,rh.bankssts,rh.superiortemporal,rh.transversetemporal,rh.insula,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Accumbens-area,Left-Hippocampus,Left-Amygdala,Brain-Stem
rh.superiortemporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,
rh.transversetemporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rh.insula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,2.0,4.857142857142857,,,4.875,4.666666666666667,,,,,,3.0,,,4.666666666666667,3.0,,,,,,,,4.0,10.0,,,,,,2.0,,,,4.0,,4.0,2.0,,,,,,,,,,
Left-Thalamus-Proper,,,,,,,,,,6.166666666666667,,,,4.666666666666667,3.0,4.5,,5.0,,,,,,,,,,,,,,,2.0,2.6666666666666665,25.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,21.0,11.0,5.0,56.0,6.0,49.0
Left-Caudate,3.6666666666666665,,,4.0,,4.0,3.1666666666666665,5.5,7.0,4.142857142857143,,10.4,10.2,5.285714285714286,3.0,3.0,5.0,,,,,,,,,,,,,,,,,2.0,3.0,156.0,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,25.0,,54.0,48.0,2.0,7.0,,
Left-Putamen,5.909090909090909,,,6.333333333333333,2.0,6.5,5.875,3.142857142857143,11.0,11.692307692307692,,7.1,3.3333333333333335,5.0,,8.666666666666666,3.0,6.333333333333333,,,,,,,,,,,,,,,,3.8333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,54.0,,4.0,2.0,10.0,10.0,
Left-Pallidum,,,,,,,,,3.0,4.2,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,48.0,4.0,,2.0,3.0,2.0,
Left-Accumbens-area,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,2.0,2.0,,6.0,,4.0
Left-Hippocampus,,,,,,,,,,,,,,,3.3333333333333335,,,,6.0,2.5,,,,,2.0,2.5,2.0,,3.0,,7.5,6.75,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,7.0,10.0,3.0,6.0,,4.0,2.0
Left-Amygdala,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.5,4.0,,,,,3.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,10.0,2.0,,4.0,,
Brain-Stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,2.0,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,4.0,2.0,,
