id node1;id node2;name node1;name node2;parent id node1;parent id node2;parent name node1;parent name node2;edge confidence;edge weight(med nofperflm)
87;90;rh.superiorfrontal_19;rh.superiorfrontal_27;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;217;0.187793
87;89;rh.superiorfrontal_19;rh.superiorfrontal_1;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;242;0.185185
77;504;rh.rostralmiddlefrontal_1;Right-Putamen;7;37;ctx-rh-rostralmiddlefrontal;Right-Putamen;256;0.140062
417;508;rh.inferiortemporal_16;Right-Amygdala;29;41;ctx-rh-inferiortemporal;Right-Amygdala;336;0.289332
417;498;rh.inferiortemporal_16;rh.insula_3;29;34;ctx-rh-inferiortemporal;ctx-rh-insula;278;0.164892
12;16;rh.lateralorbitofrontal_12;rh.lateralorbitofrontal_14;1;1;ctx-rh-lateralorbitofrontal;ctx-rh-lateralorbitofrontal;238;0.127394
12;504;rh.lateralorbitofrontal_12;Right-Putamen;1;37;ctx-rh-lateralorbitofrontal;Right-Putamen;383;0.393624
12;35;rh.lateralorbitofrontal_12;rh.parstriangularis_8;1;5;ctx-rh-lateralorbitofrontal;ctx-rh-parstriangularis;230;0.142864
12;36;rh.lateralorbitofrontal_12;rh.parstriangularis_5;1;5;ctx-rh-lateralorbitofrontal;ctx-rh-parstriangularis;210;0.180012
312;359;rh.precuneus_3;rh.lateraloccipital_3;20;23;ctx-rh-precuneus;ctx-rh-lateraloccipital;214;0.171543
507;508;Right-Hippocampus;Right-Amygdala;40;41;Right-Hippocampus;Right-Amygdala;347;0.173745
507;1015;Right-Hippocampus;Brain-Stem;40;83;Right-Hippocampus;Brain-Stem;265;0.166667
507;507;Right-Hippocampus;Right-Hippocampus;40;40;Right-Hippocampus;Right-Hippocampus;417;0.818182
573;1010;lh.rostralmiddlefrontal_23;Left-Putamen;48;78;ctx-lh-rostralmiddlefrontal;Left-Putamen;333;0.144885
573;1009;lh.rostralmiddlefrontal_23;Left-Caudate;48;77;ctx-lh-rostralmiddlefrontal;Left-Caudate;240;0.092121
1002;1010;lh.insula_6;Left-Putamen;75;78;ctx-lh-insula;Left-Putamen;242;0.145457
237;504;rh.supramarginal_11;Right-Putamen;17;37;ctx-rh-supramarginal;Right-Putamen;266;0.150242
370;396;rh.lateraloccipital_22;rh.fusiform_17;23;25;ctx-rh-lateraloccipital;ctx-rh-fusiform;228;0.153259
370;390;rh.lateraloccipital_22;rh.fusiform_2;23;25;ctx-rh-lateraloccipital;ctx-rh-fusiform;214;0.157490
567;578;lh.rostralmiddlefrontal_26;lh.rostralmiddlefrontal_7;48;48;ctx-lh-rostralmiddlefrontal;ctx-lh-rostralmiddlefrontal;299;0.186047
567;573;lh.rostralmiddlefrontal_26;lh.rostralmiddlefrontal_23;48;48;ctx-lh-rostralmiddlefrontal;ctx-lh-rostralmiddlefrontal;314;0.272056
506;1015;Right-Accumbens-area;Brain-Stem;39;83;Right-Accumbens-area;Brain-Stem;299;0.153257
506;507;Right-Accumbens-area;Right-Hippocampus;39;40;Right-Accumbens-area;Right-Hippocampus;321;0.248479
116;119;rh.superiorfrontal_17;rh.superiorfrontal_34;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;223;0.181818
144;504;rh.precentral_23;Right-Putamen;10;37;ctx-rh-precentral;Right-Putamen;376;0.376058
144;159;rh.precentral_23;rh.precentral_7;10;10;ctx-rh-precentral;ctx-rh-precentral;258;0.244773
144;505;rh.precentral_23;Right-Pallidum;10;38;ctx-rh-precentral;Right-Pallidum;270;0.104229
144;503;rh.precentral_23;Right-Caudate;10;36;ctx-rh-precentral;Right-Caudate;285;0.157480
144;205;rh.precentral_23;rh.postcentral_24;10;16;ctx-rh-precentral;ctx-rh-postcentral;256;0.204550
144;493;rh.precentral_23;rh.insula_11;10;34;ctx-rh-precentral;ctx-rh-insula;211;0.141956
100;102;rh.superiorfrontal_38;rh.superiorfrontal_5;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;227;0.183486
965;1013;lh.superiortemporal_24;Left-Hippocampus;73;81;ctx-lh-superiortemporal;Left-Hippocampus;384;0.525656
661;1011;lh.precentral_6;Left-Pallidum;51;79;ctx-lh-precentral;Left-Pallidum;232;0.076616
661;769;lh.precentral_6;lh.superiorparietal_27;51;59;ctx-lh-precentral;ctx-lh-superiorparietal;209;0.180180
661;1010;lh.precentral_6;Left-Putamen;51;78;ctx-lh-precentral;Left-Putamen;393;0.650901
661;992;lh.precentral_6;lh.insula_2;51;75;ctx-lh-precentral;ctx-lh-insula;347;0.335195
661;669;lh.precentral_6;lh.precentral_15;51;51;ctx-lh-precentral;ctx-lh-precentral;263;0.318725
661;996;lh.precentral_6;lh.insula_8;51;75;ctx-lh-precentral;ctx-lh-insula;335;0.267857
661;1008;lh.precentral_6;Left-Thalamus-Proper;51;76;ctx-lh-precentral;Left-Thalamus-Proper;263;0.159439
661;1009;lh.precentral_6;Left-Caudate;51;77;ctx-lh-precentral;Left-Caudate;298;0.126239
120;172;rh.superiorfrontal_26;rh.paracentral_3;8;11;ctx-rh-superiorfrontal;ctx-rh-paracentral;254;0.217391
254;504;rh.supramarginal_17;Right-Putamen;17;37;ctx-rh-supramarginal;Right-Putamen;333;0.159642
254;284;rh.supramarginal_17;rh.inferiorparietal_13;17;19;ctx-rh-supramarginal;ctx-rh-inferiorparietal;251;0.305085
254;502;rh.supramarginal_17;Right-Thalamus-Proper;17;35;ctx-rh-supramarginal;Right-Thalamus-Proper;262;0.157619
254;256;rh.supramarginal_17;rh.superiorparietal_24;17;18;ctx-rh-supramarginal;ctx-rh-superiorparietal;264;0.267471
254;255;rh.supramarginal_17;rh.superiorparietal_13;17;18;ctx-rh-supramarginal;ctx-rh-superiorparietal;281;0.231959
254;507;rh.supramarginal_17;Right-Hippocampus;17;40;ctx-rh-supramarginal;Right-Hippocampus;350;0.229637
254;503;rh.supramarginal_17;Right-Caudate;17;36;ctx-rh-supramarginal;Right-Caudate;214;0.157020
496;504;rh.insula_7;Right-Putamen;34;37;ctx-rh-insula;Right-Putamen;397;0.306513
607;609;lh.superiorfrontal_22;lh.superiorfrontal_20;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;292;0.153259
607;613;lh.superiorfrontal_22;lh.superiorfrontal_7;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;309;0.295203
607;612;lh.superiorfrontal_22;lh.superiorfrontal_36;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;310;0.294118
607;615;lh.superiorfrontal_22;lh.superiorfrontal_18;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;221;0.166667
607;616;lh.superiorfrontal_22;lh.superiorfrontal_34;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;326;0.388916
607;614;lh.superiorfrontal_22;lh.superiorfrontal_2;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;305;0.310078
607;703;lh.superiorfrontal_22;lh.posteriorcingulate_6;49;55;ctx-lh-superiorfrontal;ctx-lh-posteriorcingulate;222;0.103159
607;608;lh.superiorfrontal_22;lh.superiorfrontal_27;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;230;0.111996
205;210;rh.postcentral_24;rh.postcentral_11;16;16;ctx-rh-postcentral;ctx-rh-postcentral;217;0.180180
644;685;lh.precentral_12;lh.paracentral_6;51;52;ctx-lh-precentral;ctx-lh-paracentral;221;0.241935
644;684;lh.precentral_12;lh.paracentral_4;51;52;ctx-lh-precentral;ctx-lh-paracentral;273;0.217391
927;947;lh.inferiortemporal_5;lh.middletemporal_14;70;71;ctx-lh-inferiortemporal;ctx-lh-middletemporal;248;0.167677
235;504;rh.supramarginal_19;Right-Putamen;17;37;ctx-rh-supramarginal;Right-Putamen;319;0.248456
235;249;rh.supramarginal_19;rh.supramarginal_6;17;17;ctx-rh-supramarginal;ctx-rh-supramarginal;241;0.227273
