id node1;id node2;name node1;name node2;parent id node1;parent id node2;parent name node1;parent name node2;edge confidence;edge weight(avg nofperflm)
919;1014;lh.entorhinal_3;Left-Amygdala;68;82;ctx-lh-entorhinal;Left-Amygdala;215;0.175673
534;580;lh.medialorbitofrontal_5;lh.rostralmiddlefrontal_3;45;48;ctx-lh-medialorbitofrontal;ctx-lh-rostralmiddlefrontal;243;0.245397
534;582;lh.medialorbitofrontal_5;lh.rostralmiddlefrontal_25;45;48;ctx-lh-medialorbitofrontal;ctx-lh-rostralmiddlefrontal;247;0.223225
534;1010;lh.medialorbitofrontal_5;Left-Putamen;45;78;ctx-lh-medialorbitofrontal;Left-Putamen;365;0.405925
534;1009;lh.medialorbitofrontal_5;Left-Caudate;45;77;ctx-lh-medialorbitofrontal;Left-Caudate;338;0.230397
534;583;lh.medialorbitofrontal_5;lh.rostralmiddlefrontal_1;45;48;ctx-lh-medialorbitofrontal;ctx-lh-rostralmiddlefrontal;238;0.224947
744;746;lh.postcentral_7;lh.supramarginal_7;57;58;ctx-lh-postcentral;ctx-lh-supramarginal;217;0.177891
744;755;lh.postcentral_7;lh.supramarginal_17;57;58;ctx-lh-postcentral;ctx-lh-supramarginal;224;0.230668
888;892;lh.lingual_2;lh.lingual_7;65;65;ctx-lh-lingual;ctx-lh-lingual;226;0.151802
633;1010;lh.caudalmiddlefrontal_5;Left-Putamen;50;78;ctx-lh-caudalmiddlefrontal;Left-Putamen;382;0.631491
633;637;lh.caudalmiddlefrontal_5;lh.caudalmiddlefrontal_4;50;50;ctx-lh-caudalmiddlefrontal;ctx-lh-caudalmiddlefrontal;314;0.513451
633;641;lh.caudalmiddlefrontal_5;lh.caudalmiddlefrontal_10;50;50;ctx-lh-caudalmiddlefrontal;ctx-lh-caudalmiddlefrontal;327;0.543632
633;1009;lh.caudalmiddlefrontal_5;Left-Caudate;50;77;ctx-lh-caudalmiddlefrontal;Left-Caudate;347;0.396057
633;661;lh.caudalmiddlefrontal_5;lh.precentral_6;50;51;ctx-lh-caudalmiddlefrontal;ctx-lh-precentral;318;0.427911
633;997;lh.caudalmiddlefrontal_5;lh.insula_14;50;75;ctx-lh-caudalmiddlefrontal;ctx-lh-insula;222;0.253675
1011;1013;Left-Pallidum;Left-Hippocampus;79;81;Left-Pallidum;Left-Hippocampus;324;0.279199
1011;1014;Left-Pallidum;Left-Amygdala;79;82;Left-Pallidum;Left-Amygdala;242;0.161029
1011;1012;Left-Pallidum;Left-Accumbens-area;79;80;Left-Pallidum;Left-Accumbens-area;313;0.206023
151;504;rh.precentral_9;Right-Putamen;10;37;ctx-rh-precentral;Right-Putamen;339;0.716467
151;493;rh.precentral_9;rh.insula_11;10;34;ctx-rh-precentral;ctx-rh-insula;247;0.255436
